"Arena, John",City Council,5/16/11,5/20/19
"Arena, John",Committee on Aviation,5/16/11,5/20/19
"Arena, John","Committee on Committees, Rules and Ethics",5/16/11,5/20/19
"Arena, John","Committee on Economic, Capital and Technology Development",5/16/11,5/20/19
"Arena, John",Committee on Education and Child Development,4/13/16,5/20/19
"Arena, John",Committee on Finance,5/20/15,5/20/19
"Arena, John",Committee on License and Consumer Protection,5/16/11,5/20/19
"Arena, John","Committee on Special Events, Cultural Affairs and Recreation",5/16/11,5/20/19
"Arena, John",Joint Committee; Finance; Public Safety,7/29/15,5/20/19
"Arena, John",Joint Committee: Aviation; Finance,5/16/11,5/5/15
"Arena, John","Joint Committee: Budget and Government Operations; Housing and Real Estate; Special Events, Cultural Affairs and Recreation",3/11/15,5/18/15
"Arena, John",Joint Committee: Budget and Government Operations; License and Consumer Protection,5/16/11,5/5/15
"Arena, John","Joint Committee: Committees, Rules and Ethics; Economic, Capital and Technology Development",5/16/11,5/5/15
"Arena, John","Joint Committee: Economic, Capital and Technology Development; Finance",5/16/11,5/20/19
"Arena, John","Joint Committee: Economic, Capital and Technology Development; Health and Environmental Protection",5/16/11,5/5/15
"Arena, John","Joint Committee: Economic, Capital and Technology Development; Housing and Real Estate; Zoning, Landmarks and Building Standards",5/18/11,5/4/15
"Arena, John","Joint Committee: Economic, Capital and Technology Development; License and Consumer Protection",5/16/11,5/5/15
"Arena, John","Joint Committee: Economic, Capital and Technology Development; Special Events, Cultural Affairs and Recreation",5/16/11,5/5/15
"Arena, John",Joint Committee: Education and Child Development; Health and Environmental Protection,8/26/16,5/20/19
"Arena, John",Joint Committee: Finance; Budget and Government Operations,7/29/15,5/20/19
"Arena, John",Joint Committee: Finance; License and Consumer Protection,3/18/15,5/20/19
"Arena, John",Joint Committee: Finance; Public Safety,7/29/15,5/20/19
"Arena, John","Joint Committee: Finance; Special Events, Cultural Affairs and Recreation",5/16/11,5/5/15
"Arena, John",Joint Committee: Health and Environmental Protection; License and Consumer Protection,5/16/11,5/5/15
"Arena, John",Joint Committee: Health and Environmental Protection; License and Consumer Protection; Public Safety,5/16/11,5/5/15
"Arena, John","Joint Committee: Housing and Real Estate; License and Consumer Protection; Zoning, Landmarks and Building Standards",5/16/11,5/5/15
"Arena, John",Joint Committee: License and Consumer Protection; Housing and Real Estate,3/16/16,5/19/19
"Arena, John",Joint Committee: License and Consumer Protection; Human Relations,5/16/11,5/4/15
"Arena, John",Joint Committee: License and Consumer Protection; Public Safety,2/10/16,5/20/19
"Arena, John",Joint Committee: License and Consumer Protection; Transportation and Public Way,5/16/11,5/20/19
"Arena, John","Joint Committee: License and Consumer Protection; Zoning, Landmarks and Building Standards",5/16/11,5/19/19
"Arena, John","Joint Committee: Workforce Development and Audit; Committees, Rules and Ethics",12/4/15,5/20/19
"Austin, Carrie M.",City Council,8/3/94,5/20/19
"Austin, Carrie M.",Committee on Aviation,4/13/16,5/20/19
"Austin, Carrie M.",Committee on Budget and Government Operations,5/21/07,5/20/19
"Austin, Carrie M.","Committee on Committees, Rules and Ethics",5/21/07,5/20/19
"Austin, Carrie M.","Committee on Energy, Environmental Protection and Public Utilities",5/21/07,5/16/11
"Austin, Carrie M.",Committee on Finance,5/21/07,5/20/19
"Austin, Carrie M.",Committee on Health,5/21/07,5/16/11
"Austin, Carrie M.",Committee on Health and Environmental Protection,5/21/07,5/20/19
"Austin, Carrie M.",Committee on Housing and Real Estate,5/21/07,5/20/19
"Austin, Carrie M.",Committee on Police and Fire,5/21/07,5/16/11
"Austin, Carrie M.",Committee on Public Safety,5/21/07,5/20/19
"Austin, Carrie M.",Committee on Workforce Development and Audit,5/21/07,5/20/19
"Austin, Carrie M.",Committee on Zoning,5/21/07,5/16/11
"Austin, Carrie M.","Committee on Zoning, Landmarks and Building Standards",5/21/07,5/20/19
"Austin, Carrie M.",Joint Committee; Finance; Public Safety,7/29/15,5/20/19
"Austin, Carrie M.",Joint Committee: Aviation; Finance,5/21/07,5/4/15
"Austin, Carrie M.",Joint Committee: Budget and Government Operations; Finance; Transportation and Public Way,5/18/11,5/4/15
"Austin, Carrie M.",Joint Committee: Budget and Government Operations; Health and Environmental Protection,5/21/07,5/4/15
"Austin, Carrie M.","Joint Committee: Budget and Government Operations; Housing and Real Estate; Special Events, Cultural Affairs and Recreation",3/11/15,5/18/15
"Austin, Carrie M.",Joint Committee: Budget and Government Operations; License and Consumer Protection,5/21/07,5/4/15
"Austin, Carrie M.",Joint Committee: Budget and Government Operations; Public Safety,5/20/15,5/20/19
"Austin, Carrie M.","Joint Committee: Budget and Government Operations; Zoning, Landmarks and Building Standards",5/16/11,5/5/15
"Austin, Carrie M.","Joint Committee: Committees, Rules and Ethics; Economic, Capital and Technology Development",5/21/07,5/4/15
"Austin, Carrie M.","Joint Committee: Economic, Capital and Technology Development; Finance",5/21/07,5/20/19
"Austin, Carrie M.","Joint Committee: Economic, Capital and Technology Development; Health and Environmental Protection",5/21/07,5/4/15
"Austin, Carrie M.","Joint Committee: Economic, Capital and Technology Development; Housing and Real Estate; Zoning, Landmarks and Building Standards",5/21/07,5/4/15
"Austin, Carrie M.",Joint Committee: Education and Child Development; Finance,5/21/07,5/4/15
"Austin, Carrie M.",Joint Committee: Education and Child Development; Health and Environmental Protection,8/26/16,5/20/19
"Austin, Carrie M.",Joint Committee: Finance; Budget and Government Operations,7/29/15,5/20/19
"Austin, Carrie M.",Joint Committee: Finance; Health and Environmental Protection,5/21/07,5/4/15
"Austin, Carrie M.",Joint Committee: Finance; Housing and Real Estate,5/21/07,5/4/15
"Austin, Carrie M.",Joint Committee: Finance; Human Relations,8/3/94,5/18/15
"Austin, Carrie M.",Joint Committee: Finance; License and Consumer Protection,3/18/15,5/20/19
"Austin, Carrie M.",Joint Committee: Finance; Police and Fire,5/21/07,5/16/11
"Austin, Carrie M.",Joint Committee: Finance; Public Safety,8/3/94,5/20/19
"Austin, Carrie M.","Joint Committee: Finance; Special Events, Cultural Affairs and Recreation",5/21/07,5/4/15
"Austin, Carrie M.",Joint Committee: Finance; Transportation and Public Way,2/5/14,5/4/15
"Austin, Carrie M.","Joint Committee: Finance; Zoning, Landmarks and Building Standards",5/21/07,5/4/15
"Austin, Carrie M.",Joint Committee: Health and Environmental Protection; Housing and Real Estate,5/16/11,5/5/15
"Austin, Carrie M.",Joint Committee: Health and Environmental Protection; License and Consumer Protection,5/21/07,5/4/15
"Austin, Carrie M.",Joint Committee: Health and Environmental Protection; License and Consumer Protection; Public Safety,5/21/07,5/4/15
"Austin, Carrie M.","Joint Committee: Health and Environmental Protection; Zoning, Landmarks and Building Standards",5/16/11,5/5/15
"Austin, Carrie M.",Joint Committee: Housing and Real Estate; Human Relations,5/21/07,5/4/15
"Austin, Carrie M.","Joint Committee: Housing and Real Estate; License and Consumer Protection; Zoning, Landmarks and Building Standards",5/16/11,5/5/15
"Austin, Carrie M.","Joint Committee: Housing and Real Estate; Zoning, Landmarks and Building Standards",5/21/07,5/20/19
"Austin, Carrie M.",Joint Committee: Human Relations; Public Safety,5/21/07,5/20/19
"Austin, Carrie M.",Joint Committee: License and Consumer Protection; Housing and Real Estate,3/16/16,5/19/19
"Austin, Carrie M.",Joint Committee: License and Consumer Protection; Public Safety,2/10/16,5/20/19
"Austin, Carrie M.","Joint Committee: License and Consumer Protection; Zoning, Landmarks and Building Standards",5/21/07,5/19/19
"Austin, Carrie M.",Joint Committee: Public Safety; Health and Environmental Protection,1/25/17,5/20/19
"Austin, Carrie M.","Joint Committee: Public Safety; Zoning, Landmarks and Building Standards",5/21/07,5/4/15
"Austin, Carrie M.","Joint Committee: Workforce Development and Audit; Committees, Rules and Ethics",12/4/15,5/20/19
"Austin, Carrie M.",Joint Committee: Workforce Development and Audit; Public Safety,5/16/11,5/4/15
"Balcer, James",City Council,12/10/97,5/17/15
"Balcer, James",Committee on Aviation,5/21/07,5/18/15
"Balcer, James",Committee on Budget and Government Operations,5/21/07,5/18/15
"Balcer, James","Committee on Committees, Rules and Ethics",5/21/07,5/18/15
"Balcer, James",Committee on Finance,5/21/07,5/18/15
"Balcer, James",Committee on Health,5/21/07,5/16/11
"Balcer, James",Committee on Health and Environmental Protection,5/21/07,5/18/15
"Balcer, James",Committee on Housing and Real Estate,5/21/07,5/18/15
