Committee on License and Consumer Protection,1/27/11,"Zalewski, Michael R.",confirmed,1
Committee on License and Consumer Protection,1/27/11,"Cochran, Willie",confirmed,1
Committee on License and Consumer Protection,1/27/11,"Doherty, Brian",confirmed,1
Committee on License and Consumer Protection,1/27/11,"Cardenas, George A.",confirmed,1
Committee on License and Consumer Protection,1/27/11,"Olivo, Frank",confirmed,1
Committee on License and Consumer Protection,1/27/11,"Tunney, Thomas",confirmed,1
Committee on License and Consumer Protection,1/27/11,"Schulter, Eugene",confirmed,1
Committee on License and Consumer Protection,1/27/11,"Shiller, Helen",confirmed,1
Committee on License and Consumer Protection,1/27/11,"Lyle, Freddrenna",confirmed,1
Committee on License and Consumer Protection,1/27/11,"Smith, Mary Ann",confirmed,1
Committee on License and Consumer Protection,1/27/11,"Fioretti, Bob",confirmed,1
Committee on License and Consumer Protection,1/27/11,"Rice, John",confirmed,1
Committee on License and Consumer Protection,1/27/11,"Reboyras, Ariel",confirmed,1
Committee on License and Consumer Protection,1/27/11,"Graham, Deborah L.",confirmed,1
Committee on Housing and Real Estate,2/3/11,"Waguespack, Scott",confirmed,1
Committee on Housing and Real Estate,2/3/11,"Austin, Carrie M.",confirmed,1
Committee on Housing and Real Estate,2/3/11,"Balcer, James",confirmed,1
Committee on Housing and Real Estate,2/3/11,"Pope, John",confirmed,1
Committee on Housing and Real Estate,2/3/11,"Lane, Lona",confirmed,1
Committee on Housing and Real Estate,2/3/11,"Cardenas, George A.",confirmed,1
Committee on Housing and Real Estate,2/3/11,"Dixon, Sharon",confirmed,1
Committee on Housing and Real Estate,2/3/11,"Suarez, Regner Ray",confirmed,1
Committee on Housing and Real Estate,2/3/11,"Mell, Richard F.",confirmed,1
Committee on Housing and Real Estate,2/3/11,"Stone, Bernard",confirmed,1
Committee on Housing and Real Estate,2/3/11,"Shiller, Helen",confirmed,1
Committee on Housing and Real Estate,2/3/11,"Dowell, Pat",confirmed,1
Committee on Housing and Real Estate,2/3/11,"Rice, John",confirmed,1
Committee on Housing and Real Estate,2/3/11,"Reboyras, Ariel",confirmed,1
Committee on Finance,2/7/11,"Munoz, Ricardo",confirmed,1
Committee on Finance,2/7/11,"Tunney, Thomas",confirmed,1
Committee on Finance,2/7/11,"Burnett, Jr., Walter",confirmed,1
Committee on Finance,2/7/11,"Schulter, Eugene",confirmed,1
Committee on Finance,2/7/11,"Levar, Patrick",confirmed,1
Committee on Finance,2/7/11,"Smith, Mary Ann",confirmed,1
Committee on Finance,2/7/11,"Beale, Anthony",confirmed,1
Committee on Finance,2/7/11,"Foulkes, Toni",confirmed,1
Committee on Finance,2/7/11,"Austin, Carrie M.",confirmed,1
Committee on Finance,2/7/11,"Doherty, Brian",confirmed,1
Committee on Finance,2/7/11,"Burke, Edward M.",confirmed,1
Committee on Finance,2/7/11,"Cardenas, George A.",confirmed,1
Committee on Finance,2/7/11,"Suarez, Regner Ray",confirmed,1
Committee on Finance,2/7/11,"Reboyras, Ariel",confirmed,1
Committee on Finance,2/7/11,"Lane, Lona",confirmed,1
Committee on Finance,2/7/11,"Colon, Rey",confirmed,1
Committee on Finance,2/7/11,"Daley, Vi",confirmed,1
Committee on Finance,2/7/11,"Brookins, Jr., Howard",confirmed,1
Committee on Finance,2/7/11,"Mell, Richard F.",confirmed,1
Committee on Finance,2/7/11,"Hairston, Leslie A.",confirmed,1
Committee on Finance,2/7/11,"Shiller, Helen",confirmed,1
Committee on Finance,2/7/11,"Lyle, Freddrenna",confirmed,1
Committee on Finance,2/7/11,"Rugai, Virginia",confirmed,1
Committee on Finance,2/7/11,"Moore, Joseph",confirmed,1
Committee on Finance,2/7/11,"Stone, Bernard",confirmed,1
Committee on Finance,2/7/11,"Laurino, Margaret",confirmed,1
Committee on Finance,2/7/11,"Harris, Michelle A.",confirmed,1
Committee on Finance,2/7/11,"O'Connor, Patrick",confirmed,1
Committee on Finance,2/7/11,"Zalewski, Michael R.",confirmed,1
Committee on Finance,2/7/11,"Balcer, James",confirmed,1
Committee on Finance,2/7/11,"Pope, John",confirmed,1
Committee on Finance,2/7/11,"Mitts, Emma",confirmed,1
Committee on Finance,2/7/11,"Olivo, Frank",confirmed,1
Committee on Finance,2/7/11,"Thomas, Latasha R.",confirmed,1
Committee on Finance,2/7/11,"Solis, Daniel",confirmed,1
Committee on Transportation and Public Way,2/7/11,"Cochran, Willie",confirmed,1
Committee on Transportation and Public Way,2/7/11,"Balcer, James",confirmed,1
Committee on Transportation and Public Way,2/7/11,"Doherty, Brian",confirmed,1
Committee on Transportation and Public Way,2/7/11,"Cullerton, Timothy M.",confirmed,1
Committee on Transportation and Public Way,2/7/11,"Suarez, Regner Ray",confirmed,1
Committee on Transportation and Public Way,2/7/11,"Maldonado, Roberto",confirmed,1
Committee on Transportation and Public Way,2/7/11,"Schulter, Eugene",confirmed,1
Committee on Transportation and Public Way,2/7/11,"Rugai, Virginia",confirmed,1
Committee on Transportation and Public Way,2/7/11,"Levar, Patrick",confirmed,1
Committee on Transportation and Public Way,2/7/11,"Moreno, Proco Joe",confirmed,1
Committee on Transportation and Public Way,2/7/11,"Dowell, Pat",confirmed,1
Committee on Transportation and Public Way,2/7/11,"Reboyras, Ariel",confirmed,1
Committee on Transportation and Public Way,2/7/11,"Beale, Anthony",confirmed,1
Committee on Transportation and Public Way,2/7/11,"Reilly, Brendan",confirmed,1
Committee on Transportation and Public Way,2/7/11,"Graham, Deborah L.",confirmed,1
"Committee on Economic, Capital and Technology Development",2/7/11,"Jackson, Sandi",confirmed,1
"Committee on Economic, Capital and Technology Development",2/7/11,"Zalewski, Michael R.",confirmed,1
"Committee on Economic, Capital and Technology Development",2/7/11,"Newsome, Shirley",confirmed,1
"Committee on Economic, Capital and Technology Development",2/7/11,"Colon, Rey",confirmed,1
"Committee on Economic, Capital and Technology Development",2/7/11,"Cullerton, Timothy M.",confirmed,1
"Committee on Economic, Capital and Technology Development",2/7/11,"Daley, Vi",confirmed,1
"Committee on Economic, Capital and Technology Development",2/7/11,"Tunney, Thomas",confirmed,1
"Committee on Economic, Capital and Technology Development",2/7/11,"Maldonado, Roberto",confirmed,1
"Committee on Economic, Capital and Technology Development",2/7/11,"Rugai, Virginia",confirmed,1
"Committee on Economic, Capital and Technology Development",2/7/11,"Moreno, Proco Joe",confirmed,1
"Committee on Economic, Capital and Technology Development",2/7/11,"Laurino, Margaret",confirmed,1
"Committee on Economic, Capital and Technology Development",2/7/11,"Rice, John",confirmed,1
"Committee on Economic, Capital and Technology Development",2/7/11,"Foulkes, Toni",confirmed,1
"Committee on Economic, Capital and Technology Development",2/7/11,"Ervin, Jason C.",confirmed,1
Committee on Budget and Government Operations,2/8/11,"Cochran, Willie",confirmed,1
Committee on Budget and Government Operations,2/8/11,"Thompson, JoAnn",confirmed,1
Committee on Budget and Government Operations,2/8/11,"Munoz, Ricardo",confirmed,1
Committee on Budget and Government Operations,2/8/11,"Tunney, Thomas",confirmed,1
Committee on Budget and Government Operations,2/8/11,"Burnett, Jr., Walter",confirmed,1
Committee on Budget and Government Operations,2/8/11,"Schulter, Eugene",confirmed,1
Committee on Budget and Government Operations,2/8/11,"Levar, Patrick",confirmed,1
Committee on Budget and Government Operations,2/8/11,"Smith, Mary Ann",confirmed,1
Committee on Budget and Government Operations,2/8/11,"Beale, Anthony",confirmed,1
Committee on Budget and Government Operations,2/8/11,"Austin, Carrie M.",confirmed,1
Committee on Budget and Government Operations,2/8/11,"Doherty, Brian",confirmed,1
Committee on Budget and Government Operations,2/8/11,"Burke, Edward M.",confirmed,1
Committee on Budget and Government Operations,2/8/11,"Cardenas, George A.",confirmed,1
Committee on Budget and Government Operations,2/8/11,"Suarez, Regner Ray",confirmed,1
Committee on Budget and Government Operations,2/8/11,"Reboyras, Ariel",confirmed,1
Committee on Budget and Government Operations,2/8/11,"Lane, Lona",confirmed,1
Committee on Budget and Government Operations,2/8/11,"Daley, Vi",confirmed,1
Committee on Budget and Government Operations,2/8/11,"Brookins, Jr., Howard",confirmed,1
Committee on Budget and Government Operations,2/8/11,"Mell, Richard F.",confirmed,1
Committee on Budget and Government Operations,2/8/11,"Hairston, Leslie A.",confirmed,1
